pid,epsilon,alpha,cr,cr_realized,file_bytes,r2_wheel,balanced_accuracy_choice,null_choice,balanced_accuracy_feedback,null_feedback
749cb2b7-e57e-4453-a794-f6230e4d0226,150.0,14.0,73.97749792310734,55.197999017278704,39121977,0.0543561589289507,0.5,0.5,0.5956144824069353,0.4987376163538953
749cb2b7-e57e-4453-a794-f6230e4d0226,250.0,14.0,84.36500418774125,61.16510382947441,35305341,0.0546714110442745,0.5,0.5,0.5958269590345062,0.4982777378707612
749cb2b7-e57e-4453-a794-f6230e4d0226,250.0,28.0,122.83017199811256,84.21286556147855,25642814,0.0633248751945112,0.4990421455938697,0.5002394034536891,0.6092894781574026,0.4954663883152255
749cb2b7-e57e-4453-a794-f6230e4d0226,250.0,40.0,145.53436393685635,97.08176096104997,22243672,0.0689502263603135,0.4993259543067972,0.4990570381998953,0.5725055243923168,0.499059815629583
749cb2b7-e57e-4453-a794-f6230e4d0226,250.0,55.0,165.47046988150515,105.74900474124888,20420569,0.0688496902192383,0.4964523910884064,0.5002923861852433,0.5756331803501615,0.4977159468438538
749cb2b7-e57e-4453-a794-f6230e4d0226,250.0,75.0,183.36333560191233,114.48695269440168,18862017,0.0737433069309029,0.5,0.5,0.5996430392656807,0.4994634252192392
749cb2b7-e57e-4453-a794-f6230e4d0226,250.0,96.0,195.85098933248548,121.77204146820849,17733585,0.0770515922117149,0.4961685823754789,0.4996065541601255,0.6069309875913649,0.4988176049803957
749cb2b7-e57e-4453-a794-f6230e4d0226,300.0,14.0,87.58906718946122,62.88655613408643,34338895,0.054565483079832,0.5,0.5,0.6011006289308176,0.5054917542126843
749cb2b7-e57e-4453-a794-f6230e4d0226,300.0,40.0,153.6572682713347,100.55148944571432,21476110,0.0689146017813344,0.5026252305945792,0.5013707155939298,0.5652175760666327,0.5010211457304482
749cb2b7-e57e-4453-a794-f6230e4d0226,300.0,55.0,176.00157017452156,109.8590329822078,19656598,0.0688813192679104,0.4964523910884064,0.4989413265306123,0.5756331803501615,0.5008254018137739
749cb2b7-e57e-4453-a794-f6230e4d0226,300.0,75.0,196.3790515188469,119.31648914318804,18098545,0.073745590453361,0.5,0.5,0.5996430392656807,0.5073343359971266
749cb2b7-e57e-4453-a794-f6230e4d0226,300.0,96.0,210.7812426944309,127.24998217461244,16970178,0.0770515673792615,0.4961685823754789,0.5002070251177394,0.6069309875913649,0.5029060788363114
749cb2b7-e57e-4453-a794-f6230e4d0226,350.0,14.0,92.01026987682675,65.29711847270671,33071212,0.0544053533127218,0.5,0.5,0.597628760836308,0.4970898805782526
749cb2b7-e57e-4453-a794-f6230e4d0226,350.0,28.0,136.4184768042812,90.36720854229226,23896443,0.063186705831432,0.501099758762594,0.5008048796441653,0.5997747747747748,0.4979394510789859
749cb2b7-e57e-4453-a794-f6230e4d0226,350.0,40.0,164.3826336395597,105.0003760059667,20566163,0.0690632984323502,0.5026252305945792,0.4995476190476189,0.5734064252932177,0.4999357995869623
749cb2b7-e57e-4453-a794-f6230e4d0226,350.0,55.0,190.06647003423677,115.13066940434054,18756556,0.0688223981124035,0.4964523910884064,0.4990914442700156,0.5756331803501615,0.5018404118404118
749cb2b7-e57e-4453-a794-f6230e4d0226,350.0,96.0,231.23328294760975,134.3610513419898,16072030,0.0770515803363899,0.4961685823754789,0.5000569073783359,0.6069309875913649,0.5046584957050073
749cb2b7-e57e-4453-a794-f6230e4d0226,450.0,14.0,97.13385198962555,68.18666099564079,31669755,0.0582801112821413,0.5,0.5,0.5829211286758457,0.4982333662566221
749cb2b7-e57e-4453-a794-f6230e4d0226,450.0,40.0,176.09690735887204,109.8739126859882,19653936,0.0705095240993448,0.5046828437633035,0.4993524986917843,0.5806943736189019,0.500937191344168
749cb2b7-e57e-4453-a794-f6230e4d0226,450.0,55.0,205.59787129835763,120.88155693998635,17864221,0.0690270808748116,0.4964523910884064,0.5002923861852433,0.5893081761006289,0.4997961000867977
749cb2b7-e57e-4453-a794-f6230e4d0226,450.0,75.0,233.8138492074845,132.3800979050833,16312534,0.0737610197717746,0.5,0.5,0.5995622981472037,0.4980185417976116
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,50.0,14.0,35.023174351804975,29.30916554463102,60798722,0.3085044840604314,0.7686882083433808,0.5047268602540834,0.8659428887834204,0.4996925094211669
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,50.0,28.0,45.246530929649346,38.1052082441002,46764206,0.3046078482657163,0.7791174342898481,0.5067752873563218,0.8173548489163107,0.4962818785248898
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,50.0,40.0,49.02493402379223,41.42866769908987,43012723,0.2986485023378785,0.7787557270315891,0.5038243799153056,0.8062015503875969,0.4980168969380134
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,50.0,55.0,51.25872333200912,43.39909706409933,41059836,0.2788077900031537,0.7493368700265253,0.48942574107683,0.7731767125454834,0.4993272793215042
d7ec0892-0a6c-4f4f-9d8f-72083692af5c,50.0,75.0,52.65005344484744,44.78374037109016,39790330,0.2560247487450281,0.7533759344104172,0.4939358136721112,0.7600458788166429,0.5002904970684934
