pid,tier,alpha,cr,cr_realized,file_bytes,r2_wheel,balanced_accuracy_choice,null_choice,balanced_accuracy_feedback,null_feedback,epsilon
eebcaf65-7fa4-4118-869d-a084e84530e2,alpha40,40.0,139.24159962473135,95.02409627118293,18542288,0.1982271401863395,0.5,0.5,0.7397104740278172,0.5049188408592079,
eebcaf65-7fa4-4118-869d-a084e84530e2,alpha55,55.0,149.13374898396827,100.91804411811958,17459357,0.1875610028088035,0.5,0.5,0.6957138802157252,0.5031272097785859,
eebcaf65-7fa4-4118-869d-a084e84530e2,alpha70,70.0,155.19310812223068,104.9716627343196,16785141,0.1817810192299119,0.4997604848958842,0.4999092888243831,0.672853898868659,0.5013874195296214,
eebcaf65-7fa4-4118-869d-a084e84530e2,"aggressive (eps450, alpha96, shipped)",96.0,419.7772805749999,280.8345578256014,6274029,0.1837085682322291,0.5,0.5,0.6626860224646203,0.5056890032234068,
fe380793-8035-414e-b000-09bfe5ece92a,uncompressed,,1.0,1.0,2223112832,0.1854604717725512,0.5723218980616851,0.5007395227321697,0.5353443314789949,0.4984292608160204,
fe380793-8035-414e-b000-09bfe5ece92a,alpha28 (default),28.0,85.24565973276694,73.83145834305442,30110645,0.1716843432593158,0.5867459338905913,0.5051402445593622,0.5,0.5,
fe380793-8035-414e-b000-09bfe5ece92a,alpha40,40.0,96.6204758286735,72.3419053109768,30730637,0.1652461771879058,0.5634802632771845,0.5007132891618186,0.4993765586034913,0.5000077639751553,
fe380793-8035-414e-b000-09bfe5ece92a,alpha55,55.0,106.0347715891061,77.68333128913889,28617630,0.1585830161362835,0.5737021994161484,0.4979984378366732,0.5,0.5,
fe380793-8035-414e-b000-09bfe5ece92a,alpha70,70.0,112.68919909771842,81.09632700435924,27413237,0.1555423443868793,0.5989170640604885,0.4990398890325361,0.5,0.5,
fe380793-8035-414e-b000-09bfe5ece92a,"aggressive (eps450, alpha96, shipped)",96.0,193.56112233215555,161.9381381089572,13728161,0.1618603310608166,0.5998304654494026,0.5068913757810817,0.5,0.5,
1a276285-8b0e-4cc9-9f0a-a3a002978724,alpha75,75.0,136.6033827622598,94.78710895615002,20139781,0.1200626672040723,0.4989035087719298,0.4998702686202687,0.4979959919839679,0.500587037037037,
1a276285-8b0e-4cc9-9f0a-a3a002978724,alpha80,80.0,138.73029646462476,96.40923835862172,19800920,0.1185867805231987,0.5,0.5,0.4979959919839679,0.4993912698412698,
1a276285-8b0e-4cc9-9f0a-a3a002978724,alpha85,85.0,140.6746197003572,98.68345233555397,19344597,0.1163100760284066,0.5,0.5,0.5114867415991403,0.5003135642135643,
1a276285-8b0e-4cc9-9f0a-a3a002978724,alpha90,90.0,142.4585357589937,100.42092892870862,19009898,0.1173051386707265,0.5,0.5,0.4969939879759519,0.4988550264550265,
1a276285-8b0e-4cc9-9f0a-a3a002978724,alpha96 (eps150),96.0,144.44156712354825,101.43950225665358,18819016,0.1145998737270717,0.5027777777777778,0.5008394383394383,0.500617176381749,0.4990309523809524,
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,alpha75,75.0,147.19369745693115,100.93985531231029,20039991,0.0322906897838179,0.5376934984520124,0.4994699832464631,0.5056463775110093,0.4994123048668503,
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,alpha80,80.0,148.91373469137645,102.18553011798473,19795697,0.0316920217328948,0.5695599292348519,0.5033130584512285,0.5112927550220184,0.500770584634221,
