from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
CB,fiber tracts,rms_lf_csd_diff1,19,19,0.0703,0.5778483866045125,1.0
CNU,HY,psd_lfp_csd,26,21,0.0693,0.5482331713577806,1.0
HY,TH,alpha_mean,77,77,0.0692,0.019114390640338486,1.0
TH,MB,psd_theta,52,42,0.0687,0.3551104405022101,1.0
fiber tracts,HB,distance_to_tip_um,16,16,0.0686,1.9393375623621978e-05,0.031417268510267604
HPF,fiber tracts,psd_residual_theta,21,21,0.0686,0.29851955466757873,1.0
OLF,Isocortex,rms_lf_csd,69,64,0.0686,0.19456014746653416,1.0
CB,void_fluid,psd_residual_gamma,29,29,0.0682,0.35543477021758296,1.0
CNU,OLF,rms_ap,33,30,0.0681,0.3278815638732765,1.0
HB,CB,cor_ratio,150,136,0.068,0.027942257344134688,1.0
MB,TH,psd_delta_csd_diff1,101,78,0.0678,0.07584424822166701,1.0
CNU,HY,rms_lf_csd,26,21,0.0677,0.4456096467487488,1.0
HY,TH,rms_lf_csd_diff1,77,77,0.0677,0.0009715382872473194,1.0
HB,CB,alpha_mean,150,136,0.0677,0.9480086488260362,1.0
CNU,Isocortex,psd_delta_csd,110,110,0.0676,0.5748975595408825,1.0
TH,MB,psd_residual_beta,52,42,0.0674,0.8345111410997809,1.0
fiber tracts,MB,psd_lfp_csd,27,27,0.0674,0.008122230201044325,1.0
CTXsp,CNU,psd_residual_delta,52,49,0.0672,0.0035822195358909607,1.0
MB,Isocortex,repolarisation_slope,43,43,0.0671,0.5248833604900898,1.0
CB,fiber tracts,recovery_slope,19,19,0.0669,0.011280060422180308,1.0
HY,MB,peak_time_secs,22,19,0.0669,0.8356763309931442,1.0
OLF,CTXsp,psd_delta,70,69,0.0668,0.05814976144184839,1.0
OLF,Isocortex,psd_delta_csd_diff1,69,64,0.0666,0.09657052426036375,1.0
CTXsp,HPF,psd_lfp,28,28,0.0665,0.26001370482831054,1.0
OLF,Isocortex,psd_alpha_csd,69,64,0.0665,0.13084732203489904,1.0
HY,TH,rms_ap,77,77,0.0663,0.12809299447402242,1.0
TH,MB,psd_beta_csd_diff1,52,42,0.0662,0.07765034757353802,1.0
OLF,Isocortex,repolarisation_slope,69,64,0.0661,0.05218791712345626,1.0
HB,MB,psd_delta_csd_diff1,87,78,0.066,0.6161063798713666,1.0
TH,MB,psd_residual_gamma,52,42,0.0653,0.6435707009454879,1.0
HPF,fiber tracts,rms_ap,21,21,0.065,0.5050088530401593,1.0
void_fluid,void,psd_delta,121,120,0.0649,0.12308445869752803,1.0
HPF,MB,peak_time_secs,17,17,0.0649,0.6997135422279724,1.0
HB,MB,peak_time_secs,87,78,0.0647,0.34277152446674264,1.0
CTXsp,CNU,psd_residual_lfp,52,49,0.0646,0.2608881928312061,1.0
CNU,HY,psd_gamma_csd,26,21,0.0646,0.7646749656989078,1.0
fiber tracts,HB,rms_lf,16,16,0.0645,0.6446387908037019,1.0
HPF,fiber tracts,psd_residual_alpha,21,21,0.0644,0.19186886864130337,1.0
CB,fiber tracts,psd_beta_csd,19,19,0.0643,0.5079999218280439,1.0
OLF,CTXsp,psd_residual_lfp,70,69,0.0641,0.05488154073618286,1.0
void_fluid,void,peak_time_secs,121,120,0.0641,0.9928151165495397,1.0
MB,TH,psd_delta,101,78,0.064,0.11733490083065731,1.0
MB,HY,aperiodic_offset,24,23,0.0637,0.03298341032110294,1.0
MB,HY,alpha_std,24,23,0.0632,0.03263866998560224,1.0
fiber tracts,MB,rms_lf_csd,27,27,0.063,0.016816238247824668,1.0
CB,void_fluid,psd_alpha,29,29,0.0627,0.04966279101100788,1.0
MB,TH,psd_delta_csd,101,78,0.0625,0.019133404430982763,1.0
CB,fiber tracts,psd_delta_csd_diff1,19,19,0.0625,0.532591777619006,1.0
TH,HPF,aperiodic_exponent,198,198,0.0623,0.03646905367915238,1.0
HY,TH,psd_alpha_csd_diff1,77,77,0.0622,0.006956502858494622,1.0
HB,CB,peak_time_secs,150,136,0.0622,0.006463853899084016,1.0
TH,MB,peak_time_secs,52,42,0.0618,0.33476883623216314,1.0
Isocortex,void_fluid,psd_lfp,107,107,0.0616,0.07297852941878892,1.0
HY,CNU,alpha_std,32,27,0.0615,0.08654547131199668,1.0
HY,CNU,psd_residual_delta,32,27,0.0614,0.1341605842653999,1.0
HY,CNU,psd_residual_lfp,32,27,0.0613,0.35122702529530436,1.0
CB,MB,psd_theta_csd_diff1,26,23,0.0608,0.1250293838766624,1.0
OLF,Isocortex,psd_residual_theta,69,64,0.0598,0.008575594782912416,1.0
fiber tracts,MB,psd_delta_csd,27,27,0.0596,0.11921737360464983,1.0
fiber tracts,TH,psd_residual_lfp,21,21,0.0592,0.2622462894953227,1.0
HY,TH,psd_lfp_csd_diff1,77,77,0.0591,0.0024573467910650503,1.0
OLF,Isocortex,trough_val,69,64,0.0591,0.172705186187175,1.0
CTXsp,CNU,psd_residual_theta,52,49,0.0589,0.023893650127336376,1.0
OLF,CTXsp,psd_residual_theta,70,69,0.0586,0.5457157381620577,1.0
TH,HPF,psd_residual_beta,198,198,0.0585,0.34060828850651026,1.0
OLF,Isocortex,psd_gamma_csd,69,64,0.0582,0.6744268077046445,1.0
CNU,OLF,psd_theta_csd,33,30,0.0582,0.33385945593132527,1.0
fiber tracts,TH,peak_time_secs,21,21,0.0581,0.1904906056740897,1.0
root,fiber tracts,psd_alpha_csd,27,21,0.0581,0.5328149682460851,1.0
OLF,CNU,psd_residual_gamma,18,15,0.0579,0.48966667191440283,1.0
fiber tracts,TH,psd_theta_csd,21,21,0.0575,6.9225226769294026e-06,0.011214486736625633
TH,HPF,peak_val,198,198,0.0574,2.485245112626142e-268,4.02609708245435e-265
MB,Isocortex,psd_alpha_csd_diff1,43,43,0.0573,0.1520262110063509,1.0
MB,TH,psd_alpha_csd,101,78,0.0571,0.2969551710102315,1.0
HY,TH,psd_gamma_csd,77,77,0.0569,0.004810277787055732,1.0
Isocortex,void,psd_beta_csd,57,57,0.0568,0.24818818518591235,1.0
CTXsp,CNU,psd_residual_gamma,52,49,0.0567,0.284825791687767,1.0
CTXsp,CNU,recovery_time_secs,52,49,0.0566,0.15108165114408842,1.0
CB,fiber tracts,psd_theta_csd_diff1,19,19,0.0564,0.35878852117080684,1.0
MB,TH,distance_to_tip_um,101,78,0.0563,0.0005317524774000049,0.8614390133880079
HY,TH,depolarisation_slope,77,77,0.0562,0.8203156220724273,1.0
CB,MB,psd_beta,26,23,0.0559,0.31328564209742416,1.0
MB,HY,psd_delta,24,23,0.0559,0.033465885800911956,1.0
MB,HPF,alpha_std,120,119,0.0558,0.00047758271854620566,0.7736840040448532
MB,HY,alpha_mean,24,23,0.0558,0.06588826002308608,1.0
OLF,CTXsp,psd_residual_gamma,70,69,0.0554,0.1213446016634303,1.0
HB,CB,psd_residual_alpha,150,136,0.0553,0.025901651539169533,1.0
CB,void_fluid,psd_lfp,29,29,0.0551,0.21892579403874923,1.0
fiber tracts,MB,psd_delta,27,27,0.0551,0.11370772540922858,1.0
CB,void_fluid,psd_beta_csd,29,29,0.0551,0.309545435800782,1.0
MB,HY,trough_time_secs,24,23,0.0543,0.8738976854806308,1.0
Isocortex,void,psd_theta_csd,57,57,0.0543,0.022967969497346714,1.0
MB,TH,psd_residual_theta,101,78,0.0541,0.05586186781529725,1.0
Isocortex,void_fluid,cor_ratio,107,107,0.0535,0.31423598392179697,1.0
CB,MB,psd_residual_alpha,26,23,0.0534,0.21347236091779898,1.0
HB,MB,tip_time_secs,87,78,0.0524,0.022910983712126385,1.0
CNU,OLF,psd_delta,33,30,0.0524,0.5837735307568963,1.0
HPF,MB,psd_residual_beta,17,17,0.0522,0.7561388902012157,1.0
fiber tracts,HB,recovery_slope,16,16,0.0522,0.011596193859835797,1.0
MB,Isocortex,rms_lf_csd_diff1,43,43,0.0518,0.18257145361770843,1.0
HY,TH,psd_residual_delta,77,77,0.0518,0.2209253284435675,1.0
OLF,Isocortex,psd_delta_csd,69,64,0.0516,0.16147603362825969,1.0
HB,CB,tip_time_secs,150,136,0.0516,0.5603977776642549,1.0
CB,MB,peak_time_secs,26,23,0.0513,0.025413919314774294,1.0
HY,TH,psd_beta_csd,77,77,0.051,0.00132835104559951,1.0
MB,HY,recovery_time_secs,24,23,0.051,0.9419738837994778,1.0
OLF,Isocortex,depolarisation_slope,69,64,0.0509,0.5405520041552365,1.0
HB,MB,aperiodic_exponent,87,78,0.0509,0.13810917400286513,1.0
CNU,OLF,psd_theta_csd_diff1,33,30,0.0505,0.6181845196723266,1.0
HPF,Isocortex,psd_residual_gamma,313,310,0.0505,0.04579957286165805,1.0
HB,CB,psd_delta_csd,150,136,0.0504,0.19944557485948067,1.0
OLF,Isocortex,psd_beta_csd,69,64,0.0503,0.4800885943176021,1.0
TH,MB,psd_alpha,52,42,0.0502,0.5088760594940218,1.0
HY,CNU,recovery_slope,32,27,0.05,0.1641598873397334,1.0
CNU,OLF,psd_delta_csd_diff1,33,30,0.05,0.5112291369940993,1.0
HB,MB,peak_val,87,78,0.0494,0.15394820072428037,1.0
Isocortex,void,psd_alpha_csd,57,57,0.0491,0.052346599589472353,1.0
fiber tracts,HB,psd_delta,16,16,0.0491,0.25665079884777564,1.0
CNU,TH,tip_val,22,22,0.049,0.1903777944878371,1.0
CNU,HY,psd_residual_delta,26,21,0.049,0.3948877140531766,1.0
CB,void_fluid,rms_lf,29,29,0.0481,0.481287176184268,1.0
TH,MB,psd_residual_alpha,52,42,0.048,0.6133120596284094,1.0
HY,TH,psd_beta,77,77,0.0477,0.7536160151434409,1.0
HB,CB,psd_residual_beta,150,136,0.0475,0.7346101279522002,1.0
HB,CB,rms_lf_csd,150,136,0.0472,0.32904986458978525,1.0
fiber tracts,HB,peak_time_secs,16,16,0.0472,0.29613824846556014,1.0
HB,CB,psd_theta_csd,150,136,0.0471,0.5048740260897393,1.0
HB,MB,psd_delta_csd,87,78,0.047,0.7484598665264837,1.0
HPF,Isocortex,psd_residual_lfp,313,310,0.0462,0.22082520086211155,1.0
Isocortex,void,psd_lfp_csd_diff1,57,57,0.0461,0.22710337174009532,1.0
MB,Isocortex,psd_gamma,43,43,0.046,0.12884775358025244,1.0
Isocortex,void,psd_gamma_csd,57,57,0.046,0.04207322608502588,1.0
TH,MB,psd_residual_lfp,52,42,0.046,0.7429867244457664,1.0
CTXsp,HPF,psd_lfp_csd,28,28,0.0459,0.04408201431033846,1.0
CTXsp,CNU,trough_time_secs,52,49,0.0455,0.2527894576669676,1.0
MB,TH,rms_lf_csd_diff1,101,78,0.0452,0.15761197042889596,1.0
HY,TH,psd_theta_csd_diff1,77,77,0.0449,0.02906851425641014,1.0
CTXsp,Isocortex,rms_lf_csd_diff1,18,13,0.0445,0.4500136255823497,1.0
TH,MB,psd_alpha_csd_diff1,52,42,0.0442,0.044840259447301085,1.0
TH,MB,psd_alpha_csd,52,42,0.0438,0.11184142241525204,1.0
root,fiber tracts,psd_residual_alpha,27,21,0.0437,0.6805418734292263,1.0
