from,to,feature,n_trans,n_probes,cohens_d,pval,pval_bonf
fiber tracts,root,tip_val,56,56,0.4828,0.00013989873696118593,0.17347443383187056
CNU,TH,repolarisation_slope,283,283,0.4827,2.096011358916746e-18,2.5990540850567652e-15
CTXsp,HPF,recovery_slope,393,392,0.4823,1.4012704383555306e-40,1.737575343560858e-37
CNU,OLF,depolarisation_slope,410,380,0.4805,0.0,0.0
CNU,OLF,tip_val,410,380,0.4791,0.0,0.0
CNU,HPF,alpha_std,109,109,0.4783,0.0003212756710126996,0.3983818320557475
OLF,fiber tracts,depolarisation_slope,111,111,0.477,1.495071733081943e-09,1.8538889490216093e-06
MB,HY,recovery_time_secs,182,181,0.4769,2.416859779381165e-25,2.9969061264326447e-22
fiber tracts,OLF,repolarisation_slope,986,986,0.4767,0.0,0.0
OLF,HPF,depolarisation_slope,305,305,0.4746,0.0,0.0
HB,CB,alpha_std,1623,1595,0.4745,0.0,0.0
CTXsp,HPF,repolarisation_slope,393,392,0.4742,0.0,0.0
MB,HY,trough_time_secs,182,181,0.4732,3.3898197178515464e-24,4.2033764501359175e-21
OLF,CTXsp,cor_ratio,1346,1345,0.473,0.0,0.0
CNU,HY,psd_pc1,342,284,0.4699,6.007684175580425e-25,7.449528377719726e-22
OLF,fiber tracts,repolarisation_slope,111,111,0.4696,1.3159061340584088e-10,1.631723606232427e-07
root,CNU,aperiodic_offset,151,151,0.4678,2.9048656530288657e-30,3.6020334097557935e-27
Isocortex,CTXsp,tip_time_secs,149,149,0.4675,1.1364432615443287e-12,1.4091896443149676e-09
OLF,CTXsp,peak_time_secs,1346,1345,0.4651,0.0,0.0
OLF,fiber tracts,trough_val,111,111,0.4647,9.817918006360671e-11,1.2174218327887232e-07
CNU,HPF,csd_pc1,109,109,0.4646,7.309223886552309e-07,0.0009063437619324863
OLF,fiber tracts,tip_val,111,111,0.4641,2.69861288870743e-09,3.3462799819972133e-06
HB,CB,trough_val,1623,1595,0.464,0.0,0.0
CNU,OLF,peak_val,410,380,0.4632,0.0,0.0
OLF,fiber tracts,recovery_slope,111,111,0.4623,5.929764457235365e-10,7.352907926971852e-07
CTXsp,OLF,tip_val,79,79,0.4623,1.8261182496703832e-11,2.264386629591275e-08
CNU,HY,alpha_mean,342,284,0.4622,3.024246248761116e-19,3.750065348463784e-16
